International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=00000000000000000000000000000000000000000000000000000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=40-A&vs=INTL.4008-8-AFG-MMTCD.A&ord=CR&vo=0&v=H&end=2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Apr 22 2019 19:31:02 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,92.743674414547,90.889865279508,93.69197184791,93.752668014474,93.411889755558,97.190061138489,100.86580174805,99.633259580465,95.671678025981,87.933893013039,79.249649789966,60.156791792218,60.117604278516,58.059875610782,57.904374841326,60.004066716715,59.07101359783,55.462705031288,50.848765750712,44.715307792905,46.738719686635,47.621316209558,46.437574552936,48.388707765488,49.679725230163,49.682181989552,50.240087165957,54.475031530434,54.044374068235,43.793765445984,44.216601631796,51.222833152994,46.21622966322,41.083856001368,44.290849258563,46.488467952214,42.888054363458
,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,0.41825,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.1,1.2,1.4,1.4,1.7,1.7,2.1206891156773,2.4532154621958,3.0502191193353,2.8605023771997,3.4949948731796,3.4181463604642
,Burma (Myanmar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,4.4073969414445,4.5534489478425,4.8548864127339,5.589234894295,6.0257908002911,6.3138973400238,5.295661171356,4.8806961785655,4.696151341766,4.8497134665661,4.790589549365,4.6888273655328,4.6081700266074,4.7591541066664,5.786647225393,6.1456943351729,6.251593657198,6.8753500852428,8.2850265638203,9.9725050639252,10.019281590877,9.8124183740548,10.790979304354,12.218949617888,12.820310047146,16.345962332831,14.937375054257,15.651079443639,14.597307342847,11.996788716498,11.666783074567,11.802489489581,14.601694879043,16.898618624279,21.296519599499,24.450619462198,27.006455291961
,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
