International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000001vm&c=ruvvvvvfvtvvvv1vvvvvvfvvvvvvfvvvsu20evvvvvvvvvvvvuvg&ct=0&ug=8&tl_id=2-A&vs=INTL.29-12-AFG-BKWH.A&cy=2016&vo=0&v=B&end=2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Apr 30 2019 15:44:00 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Chad,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0003,0.0093
,Chile,Billion Kwh,7.443,7.693,8.589,9.131,9.523,10.543,11.572,12.283,11.665,9.812,12.815,14.03,18.311,18.772,18.594,21.495,20.318,20.497,16.957,14.451,20.494,22.868,23.993,23.271,23.797,28.015,30.276,25.604,27.072,29.396,24.22,25.948,25.24,26,30.062,32.368,33.801
,China,Billion Kwh,57.618,64.845,73.656,85.536,85.932,91.476,93.555,99.198,108.009,117.216,125.14,123.86,130.202,149.219,165.74,187.87,186.575,195.447,205.005,213.716,223.246,277.869,288.437,284.368,353.823,397.67,437.902,488.729,609.146,657.629,783.623,792.507,997.602,1106.628,1283.425,1397.766,1539.552
,Colombia,Billion Kwh,14.533,14.549,18.32,18.303,20.508,21.805,25.411,21.581,24.82,26.902,27.522,27.479,22.557,28.113,32.416,32.315,35.632,31.852,31.006,33.861,32.249,31.976,34.119,36.307,40.195,39.966,42.919,44.594,46.545,41.256,42.474,50.456,49.152,50.918,48.864,49.603,50.272
,Comoros,Billion Kwh,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.003,0.002,0.002,0.002,0.002
,Congo (Brazzaville),Billion Kwh,0.099,0.102,0.174,0.229,0.248,0.288,0.265,0.275,0.286,0.393,0.485,0.474,0.421,0.355,0.319,0.348,0.451,0.446,0.339,0.25,0.292,0.331,0.392,0.339,0.327,0.351,0.368,0.332,0.371,0.327,0.426,0.7831,0.9771,0.9613,0.9423,0.9166,0.9496
,Congo (Kinshasa),Billion Kwh,4.199,4.126,4.08,4.432,4.646,4.975,5.204,5.187,5.196,5.836,5.569,5.206,5.993,5.473,5.241,6.097,6.03,4.974,4.662,5.247,5.939,5.914,6.049,6.098,7.007,7.319,7.445,7.742,7.408,7.722,7.741,7.733,7.5271,8.1675,8.7519,8.8489,9.033
,Cook Islands,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.0001,0.0008,0.002,0.003,0.004
,Costa Rica,Billion Kwh,2.098,2.261,2.362,2.805,2.979,2.749,2.866,2.974,3.02,3.287,3.348,3.629,4.02,4.388,4.375,4.003,4.311,5.396,4.903,5.993,6.793,6.784,7.304,7.138,7.901,7.902,8.084,8.251,8.724,8.788,8.87,8.894,9.273,8.97,9.107,10.623,10.611
,Cote dIvoire (IvoryCoast),Billion Kwh,1.345,1.726,1.731,1.067,0.369,1.344,1.179,1.216,1.227,1.25,1.309,1.242,1.038,1.087,1.162,1.766,1.764,1.86,1.363,1.736,1.746,1.782,1.712,1.814,1.838,1.5331,1.6072,1.8942,1.9972,2.1825,1.673,1.822,1.839,1.66,1.967,1.447,1.692
,Croatia,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,4.304,4.32,4.887,5.217,7.166,5.236,5.408,6.526,5.795,6.483,5.311,4.827,6.894,6.294,5.97,4.237,5.225,6.742,9.207,5.238,5.214,9.191,9.847,7.45,8.291
,Cuba,Billion Kwh,0.996,0.959,1.043,1.062,1.069,1.053,1.158,1.144,1.272,1.281,1.552,1.368,1.417,0.968,0.946,0.763,1.016,0.999,0.875,0.9831,1.0331,1.0051,1.0451,0.8481,0.876824,0.4881,0.4996,0.538286,0.711,0.7044,0.5626,0.575,0.686,0.835,0.78,0.802,0.81
,Cyprus,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.015,0.031,0.072,0.178,0.257,0.329,0.311,0.397,0.423
